city,n_candidates,n_true_wh,mean_score,median_score,n_core,n_secondary,known_wh_density,model_opportunity_score
St. Joseph,1,1,0.9995015918674344,0.9995015918674344,1,0,1.0,1.0
Stamford,4,4,0.9644958507395107,0.9560503828393541,4,0,1.0,3.858
Stockton,6,6,0.970415973975415,0.9988073202867738,6,0,1.0,5.822
Sumter,1,1,0.9987401552657735,0.9987401552657735,1,0,1.0,0.999
Syracuse,1,1,0.9323906890014417,0.9323906890014417,1,0,1.0,0.932
Tacoma,49,3,0.1746462644220846,0.028584566619615413,14,0,0.0612,2.445
Tallahassee,1,1,0.9838469946489726,0.9838469946489726,1,0,1.0,0.984
Tampa,4,3,0.9776180420209687,0.9904985840091123,4,0,0.75,3.91
Terre Haute,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Toledo,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Topeka,2,2,0.9993501268406262,0.9993501268406262,2,0,1.0,1.999
Trenton,28,8,0.31297275453640305,0.06789530253441499,8,0,0.2857,2.504
Tucson,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Tulsa,4,1,0.6183280626362925,0.7587409564278896,3,0,0.25,1.855
Tuscaloosa,3,2,0.880142746669423,0.955779647939266,3,0,0.6667,2.64
Tyler,2,2,0.9953813547308712,0.9953813547308712,2,0,1.0,1.991
Urbana,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Utica,4,3,0.8715897472998059,0.9916586309451025,4,0,0.75,3.486
Vallejo,5,4,0.8670941530651322,0.9966687662847055,5,0,0.8,4.335
Vancouver,3,3,0.982913721630018,0.9886481472344426,3,0,1.0,2.949
Waco,2,2,0.9825365572864861,0.9825365572864861,2,0,1.0,1.965
Wahiawa,1,1,0.8424162045461896,0.8424162045461896,1,0,1.0,0.842
"Washington,  D.C.",16,7,0.3069681693161039,0.1195904884300503,8,0,0.4375,2.456
Waterloo,4,3,0.8937646912426843,0.9820012154134401,4,0,0.75,3.575
Waukesha,3,3,0.8452173499882529,0.9740250238966854,3,0,1.0,2.536
Wausau,1,1,0.998247424532537,0.998247424532537,1,0,1.0,0.998
West Palm Beach,2,2,0.9213461896081041,0.9213461896081041,2,0,1.0,1.843
Wichita,2,2,0.947688892924581,0.947688892924581,2,0,1.0,1.895
Wilkes-Barre,2,2,0.9941548976228511,0.9941548976228511,2,0,1.0,1.988
Wilmington,10,10,0.8753676066448456,0.9840291659807597,10,0,1.0,8.754
Winston-Salem,4,4,0.7208347985213498,0.8444827472723095,4,0,1.0,2.883
Winter Haven,2,2,0.9709688752610985,0.9709688752610985,2,0,1.0,1.942
Worcester,3,2,0.8006618596376424,0.9862232961963371,3,0,0.6667,2.402
York,7,3,0.659247773430426,0.5914392533237941,6,0,0.4286,3.955
Youngstown,1,1,0.9952492676151121,0.9952492676151121,1,0,1.0,0.995
