source,id,lat,lon,score,tier,osm_category,area_sqm,maps_link,model_version,scored_date,rank,score_adjusted,tier_adjusted
known_osm,neg_339,40.06481,-76.35107720415127,0.025392031801699518,Deprioritized,hospital,,"https://www.google.com/maps/@40.06481,-76.35107720415127,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1127,0.0008,Deprioritized
known_osm,neg_211,29.43658185,-98.64614775605791,0.025335615210122075,Deprioritized,restaurant,,"https://www.google.com/maps/@29.43658185,-98.64614775605791,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1128,0.0008,Deprioritized
known_osm,neg_1177,42.0593556,-88.13775758575439,0.02488668390317345,Deprioritized,retail_large,,"https://www.google.com/maps/@42.0593556,-88.13775758575439,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1129,0.0008,Deprioritized
known_osm,neg_1111,42.04488349999999,-88.14391285124812,0.02473340839697572,Deprioritized,retail_large,,"https://www.google.com/maps/@42.04488349999999,-88.14391285124812,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1130,0.0008,Deprioritized
known_osm,neg_916,43.6081022,-79.6527436,0.02472190257023259,Deprioritized,hospital,,"https://www.google.com/maps/@43.6081022,-79.6527436,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1131,0.0008,Deprioritized
known_osm,neg_274,39.758622,-105.009181,0.024491508062517854,Deprioritized,restaurant,,"https://www.google.com/maps/@39.758622,-105.009181,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1132,0.0008,Deprioritized
known_osm,neg_499,38.934323,-77.0730461,0.02416316793898326,Deprioritized,supermarket,,"https://www.google.com/maps/@38.934323,-77.0730461,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1133,0.0008,Deprioritized
known_osm,neg_390,42.1489289,-71.4863015,0.02341296589954514,Deprioritized,hotel,,"https://www.google.com/maps/@42.1489289,-71.4863015,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1134,0.0008,Deprioritized
known_osm,neg_1174,42.0469313,-88.12688768743202,0.02284078916631037,Deprioritized,retail_large,,"https://www.google.com/maps/@42.0469313,-88.12688768743202,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1135,0.0007,Deprioritized
known_osm,neg_153,35.40409595,-80.66344774499998,0.021979069016416407,Deprioritized,parking,,"https://www.google.com/maps/@35.40409595,-80.66344774499998,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1136,0.0007,Deprioritized
known_osm,neg_1217,47.23550180000001,-122.40994678716947,0.021566483439122697,Deprioritized,commercial,,"https://www.google.com/maps/@47.23550180000001,-122.40994678716947,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1137,0.0007,Deprioritized
