pos_id,lat,lon,cluster_id,cluster_size,density_type
0000223,41.3034718,-75.74818259999999,5,9,small_cluster
0000224,35.1291828,-80.9283773,2,14,small_cluster
0000225,39.0818485,-84.65477840000001,55,23,dense_cluster
0000226,41.9887218,-88.22189259999999,1,70,dense_cluster
0000227,41.5165744,-112.044981,-1,0,isolated
0000228,40.0979867,-82.7394291,42,14,small_cluster
0000229,46.3173633,-72.6803667,-1,0,isolated
0000230,39.2320517,-76.4670804,146,9,small_cluster
0000231,33.8496692,-118.2214124,6,113,dense_cluster
0000232,33.4526064,-112.2790694,36,38,dense_cluster
0000233,41.6464474,-93.78262959999999,-1,0,isolated
0000234,42.471597,-90.6092565,-1,0,isolated
0000235,47.2462486,-122.3930047,56,15,small_cluster
0000236,32.8611168,-79.9728751,57,7,small_cluster
0000237,41.8031949,-72.5051905,-1,0,isolated
0000238,36.74501679999999,-86.56816719999999,-1,0,isolated
0000239,38.9404556,-95.0045463,-1,0,isolated
0000240,38.9440224,-95.6924992,-1,0,isolated
0000241,29.954159,-90.1866417,-1,0,isolated
0000242,41.6973841,-88.0144789,22,24,dense_cluster
0000243,41.75655829999999,-86.3311959,-1,0,isolated
0000244,28.7594603,-81.2518329,-1,0,isolated
0000245,42.3253829,-71.5973108,-1,0,isolated
0000246,34.7076526,-84.96212369999999,-1,0,isolated
0000247,37.03633749999999,-86.3357435,-1,0,isolated
0000248,34.0224024,-117.5207646,15,87,dense_cluster
0000249,41.4590425,-74.353982,-1,0,isolated
0000250,33.5094473,-84.22577869999999,95,9,small_cluster
0000251,1.380832,104.0004283,-1,0,isolated
0000252,44.6354451,-93.2586961,58,5,small_cluster
0000253,39.4881306,-76.6601544,-1,0,isolated
0000254,45.2693261,-122.6623584,-1,0,isolated
0000255,36.7834272,-88.6400476,-1,0,isolated
0000256,25.8576324,-80.37967309999999,4,42,dense_cluster
0000257,36.0078982,-102.6733365,-1,0,isolated
0000258,39.1185309,-93.2445482,-1,0,isolated
0000259,34.005388,-118.210422,6,113,dense_cluster
0000260,41.3142378,-72.265344,-1,0,isolated
0000261,42.5082426,-88.98013999999999,-1,0,isolated
0000262,35.4229925,-80.6598459,44,6,small_cluster
0000263,30.5199826,-97.8733431,-1,0,isolated
0000264,40.1964692,-77.2427453,59,11,small_cluster
0000265,28.5547933,-81.3427885,27,16,small_cluster
0000266,50.9884262,-113.9682288,17,15,small_cluster
0000267,37.4779234,-77.355908,60,11,small_cluster
0000268,41.972745,-87.94916719999999,1,70,dense_cluster
0000269,33.7102191,-117.8481736,6,113,dense_cluster
0000270,41.6356993,-93.7020783,-1,0,isolated
0000271,40.8194367,-73.83723599999999,-1,0,isolated
0000272,36.2082055,-80.29150760000002,-1,0,isolated
0000273,33.1202745,-96.6624214,-1,0,isolated
0000274,38.643057,-90.1512929,-1,0,isolated
0000275,39.48756119999999,-76.65831829999999,-1,0,isolated
0000276,41.4034025,-88.13807589999999,61,12,small_cluster
0000277,39.9608145,-74.1839961,-1,0,isolated
0000278,33.2182262,-96.65173689999999,-1,0,isolated
0000279,43.0788452,-75.60807840000001,-1,0,isolated
0000280,41.1777898,-73.2280258,-1,0,isolated
0000281,25.7934542,-80.3562978,4,42,dense_cluster
